LAG_HOURS,DOWNLOAD_POIS,NUM_CLUSTERS,MODEL,SEQ_LENGTH,ALPHA,TRAFFIC_FEATURE,WEATHER_FEATURE,ADJACENCY,NUM_EPOCHS,XGBoost_RMSE,XGBoost_MSE,XGBoost_MAE,XGBoost_SMAPE,LightGBM_RMSE,LightGBM_MSE,LightGBM_MAE,LightGBM_SMAPE
1,False,10,XGBoost,12,0.66,True,True,True,125,3.5251,12.4266,0.8789,55.6083,3.5184,12.3793,0.8898,56.0593
1,False,10,XGBoost,12,0.5,True,True,True,125,3.5251,12.4266,0.8789,55.6083,3.5184,12.3793,0.8898,56.0593
3,False,5,LightGBM,8,0.33,True,True,True,125,3.653,13.3443,1.004,73.9721,3.6403,13.252,1.0064,73.7635
1,False,10,XGBoost,8,0.66,True,True,True,125,3.5251,12.4266,0.8789,55.6083,3.5184,12.3793,0.8898,56.0593
3,False,5,LightGBM,8,0.66,True,True,True,125,3.653,13.3443,1.004,73.9721,3.6403,13.252,1.0064,73.7635
1,False,10,XGBoost,4,0.5,True,True,True,125,3.5251,12.4266,0.8789,55.6083,3.5184,12.3793,0.8898,56.0593
1,False,10,XGBoost,4,0.66,True,True,True,125,3.5251,12.4266,0.8789,55.6083,3.5184,12.3793,0.8898,56.0593
1,False,10,XGBoost,8,0.5,True,True,True,125,3.5251,12.4266,0.8789,55.6083,3.5184,12.3793,0.8898,56.0593
1,False,10,XGBoost,12,0.33,True,True,True,125,3.5251,12.4266,0.8789,55.6083,3.5184,12.3793,0.8898,56.0593
1,False,10,XGBoost,4,0.33,True,True,True,125,3.5251,12.4266,0.8789,55.6083,3.5184,12.3793,0.8898,56.0593
3,False,5,LightGBM,4,0.33,True,True,True,125,3.653,13.3443,1.004,73.9721,3.6403,13.252,1.0064,73.7635
3,False,5,LightGBM,4,0.5,True,True,True,125,3.653,13.3443,1.004,73.9721,3.6403,13.252,1.0064,73.7635
3,False,5,LightGBM,8,0.5,True,True,True,125,3.653,13.3443,1.004,73.9721,3.6403,13.252,1.0064,73.7635
1,False,10,XGBoost,8,0.33,True,True,True,125,3.5251,12.4266,0.8789,55.6083,3.5184,12.3793,0.8898,56.0593
3,False,5,LightGBM,4,0.66,True,True,True,125,3.653,13.3443,1.004,73.9721,3.6403,13.252,1.0064,73.7635
